Period,Births,Deaths,Natural_Increase
2000,56604,26658,29943
2001,55800,27825,27972
2002,54021,28065,25956
2003,56136,28011,29125
2004,58074,28419,29655
2005,57744,27033,30711
2006,59193,28245,30949
2007,64044,28521,35520
2008,64341,29187,35154
2009,62541,28965,33579
2010,63897,28437,35457
2011,61404,30081,31320
2012,61179,30099,31080
2013,58719,29568,29148
2014,57243,31062,26181
2015,61038,31608,29430
2016,59430,31179,28251
2017,59610,33339,26268
2018,58020,33225,24795
2019,59637,34260,25377
